Refrigerant,Circuit Size,Temp,Capacity,Sporlan,k,,
R-407C,'3/8,-20,1.727804982,1.45,,1.727804982,0.278
R-407C,'3/8,-40,1.331039055,1.14,,1.331039055,0.191
 , , , ,,,#VALUE!,#VALUE!
R-410A,'3/16,40,0.495219036,,,0.495219036,0.495
R-410A,'3/16,20,0.388024764,,,0.388024764,0.388
R-410A,'3/16,0,0.299080116,,,0.299080116,0.299
R-410A,'3/16,-20,0.228385093,,,0.228385093,0.228
R-410A,'3/16,-40,0.175939693,,,0.175939693,0.176
R-410A,'1/4,40,1.146947339,,,1.146947339,1.147
R-410A,'1/4,20,0.898681065,,,0.898681065,0.899
R-410A,'1/4,0,0.692681659,,,0.692681659,0.693
R-410A,'1/4,-20,0.528949122,,,0.528949122,0.529
R-410A,'1/4,-40,0.407483452,,,0.407483452,0.407
R-410A,'5/16,40,2.200202076,,,2.200202076,2.200
R-410A,'5/16,20,1.72395007,,,1.72395007,1.724
R-410A,'5/16,0,1.328779076,,,1.328779076,1.329
R-410A,'5/16,-20,1.014689093,,,1.014689093,1.015
R-410A,'5/16,-40,0.781680123,,,0.781680123,0.782
R-410A,'3/8,40,3.746487603,,,3.746487603,3.746
R-410A,'3/8,20,2.935529256,,,2.935529256,2.936
R-410A,'3/8,0,2.26263505,,,2.26263505,2.263
R-410A,'3/8,-20,1.727804982,,,1.727804982,1.728
R-410A,'3/8,-40,1.331039055,,,1.331039055,1.331
 , , , ,,,#VALUE!,#VALUE!
R-502,'3/16,40,0.33145408,,,0.33145408,0.331
R-502,'3/16,20,0.253847339,,,0.253847339,0.254
R-502,'3/16,0,0.189732634,,,0.189732634,0.190
R-502,'3/16,-20,0.139109965,,,0.139109965,0.139
R-502,'3/16,-40,0.101979332,,,0.101979332,0.102
R-502,'1/4,40,0.765587957,,,0.765587957,0.766
R-502,'1/4,20,0.586333002,,,0.586333002,0.586
R-502,'1/4,0,0.438241761,,,0.438241761,0.438
R-502,'1/4,-20,0.321314234,,,0.321314234,0.321
R-502,'1/4,-40,0.235550422,,,0.235550422,0.236
R-502,'5/16,40,1.465558745,,,1.465558745,1.466
R-502,'5/16,20,1.122412455,,,1.122412455,1.122
R-502,'5/16,0,0.838922607,,,0.838922607,0.839
R-502,'5/16,-20,0.615089202,,,0.615089202,0.615
R-502,'5/16,-40,0.45091224,,,0.45091224,0.451
R-502,'3/8,40,2.491269191,,,2.491269191,2.491
R-502,'3/8,20,1.907962801,,,1.907962801,1.908
R-502,'3/8,0,1.426065009,,,1.426065009,1.426
R-502,'3/8,-20,1.045575815,,,1.045575815,1.046
R-502,'3/8,-40,0.76649522,,,0.76649522,0.766
 , , , ,,,#VALUE!,#VALUE!
R-402A,'3/16,40,0.354655866,,,0.354655866,0.355
R-402A,'3/16,20,0.271616653,,,0.271616653,0.272
R-402A,'3/16,0,0.203013919,,,0.203013919,0.203
R-402A,'3/16,-20,0.148847663,,,0.148847663,0.149
R-402A,'3/16,-40,0.109117885,,,0.109117885,0.109
R-402A,'1/4,40,0.819179114,,,0.819179114,0.819
R-402A,'1/4,20,0.627376312,,,0.627376312,0.627
R-402A,'1/4,0,0.468918684,,,0.468918684,0.469
R-402A,'1/4,-20,0.343806231,,,0.343806231,0.344
R-402A,'1/4,-40,0.252038952,,,0.252038952,0.252
R-402A,'5/16,40,1.568147857,,,1.568147857,1.568
R-402A,'5/16,20,1.200981326,,,1.200981326,1.201
R-402A,'5/16,0,0.89764719,,,0.89764719,0.898
R-402A,'5/16,-20,0.658145446,,,0.658145446,0.658
R-402A,'5/16,-40,0.482476097,,,0.482476097,0.482
R-402A,'3/8,40,2.665658035,,,2.665658035,2.666
R-402A,'3/8,20,2.041520197,,,2.041520197,2.042
R-402A,'3/8,0,1.52588956,,,1.52588956,1.526
R-402A,'3/8,-20,1.118766122,,,1.118766122,1.119
R-402A,'3/8,-40,0.820149885,,,0.820149885,0.820
 , , , ,,,#VALUE!,#VALUE!
R-404A,'3/16,40,0.356644591,,,0.356644591,0.357
R-404A,'3/16,20,0.273139737,,,0.273139737,0.273
R-404A,'3/16,0,0.204152314,,,0.204152314,0.204
R-404A,'3/16,-20,0.149682322,,,0.149682322,0.150
R-404A,'3/16,-40,0.109729761,,,0.109729761,0.110
R-404A,'1/4,40,0.823772642,,,0.823772642,0.824
R-404A,'1/4,20,0.63089431,,,0.63089431,0.631
R-404A,'1/4,0,0.471548135,,,0.471548135,0.472
R-404A,'1/4,-20,0.345734116,,,0.345734116,0.346
R-404A,'1/4,-40,0.253452254,,,0.253452254,0.253
R-404A,'5/16,40,1.57694121,,,1.57694121,1.577
R-404A,'5/16,20,1.207715801,,,1.207715801,1.208
R-404A,'5/16,0,0.902680725,,,0.902680725,0.903
R-404A,'5/16,-20,0.661835982,,,0.661835982,0.662
R-404A,'5/16,-40,0.485181571,,,0.485181571,0.485
R-404A,'3/8,40,2.68060565,,,2.68060565,2.681
R-404A,'3/8,20,2.052967974,,,2.052967974,2.053
R-404A,'3/8,0,1.53444595,,,1.53444595,1.534
R-404A,'3/8,-20,1.125039577,,,1.125039577,1.125
R-404A,'3/8,-40,0.824748856,,,0.824748856,0.825
 , , , ,,,#VALUE!,#VALUE!
R-507,'3/16,40,0.357970407,,,0.357970407,0.358
R-507,'3/16,20,0.274155126,,,0.274155126,0.274
R-507,'3/16,0,0.204911245,,,0.204911245,0.205
R-507,'3/16,-20,0.150238762,,,0.150238762,0.150
R-507,'3/16,-40,0.110137679,,,0.110137679,0.110
R-507,'1/4,40,0.826834994,,,0.826834994,0.827
R-507,'1/4,20,0.633239642,,,0.633239642,0.633
R-507,'1/4,0,0.473301102,,,0.473301102,0.473
R-507,'1/4,-20,0.347019373,,,0.347019373,0.347
R-507,'1/4,-40,0.254394456,,,0.254394456,0.254
R-507,'5/16,40,1.582803445,,,1.582803445,1.583
R-507,'5/16,20,1.212205451,,,,
R-507,'5/16,0,0.906036416,,,,
R-507,'5/16,-20,0.664296338,,,,
R-507,'5/16,-40,0.48698522,,,,
R-507,'3/8,40,2.690570727,,,,
R-507,'3/8,20,2.060599825,,,,
R-507,'3/8,0,1.54015021,,,,
R-507,'3/8,-20,1.12922188,,,,
R-507,'3/8,-40,0.827814837,,,,
 , , , ,,,,
